Company,Symbol,companyLow,companyFinal
Inovio Pharmaceuticals ,INO,inovio pharmaceuticals ,inovio pharmaceuticals
Inpixon,INPX,inpixon,inpixon
Inseego ,INSG,inseego ,inseego
Insight Enterprises ,NSIT,insight enterprises ,insight enterprises
Insignia Systems ,ISIG,insignia systems ,insignia systems
Insmed orporated,INSM,insmed orporated,insmed orporated
Insteel Industries ,IIIN,insteel industries ,insteel industries
Insulet oration,PODD,insulet oration,insulet oration
Insys Therapeutics ,INSY,insys therapeutics ,insys therapeutics
Intec Pharma ,NTEC,intec pharma ,intec pharma
Integra LifeSciences Holdings oration,IARTV,integra lifesciences holdings oration,integra lifesciences holdings
IntegraMed America orporation (Inactive),INMD,integramed america orporation (inactive),integramed america orporation
Integrated Device Technology ,IDTI,integrated device technology ,integrated device technology
Integrated Silicon Solution ,ISSI,integrated silicon solution ,integrated silicon solution
Intel ,INTC,intel ,intel
IntelePeer ,PEER,intelepeer ,intelepeer
Inteliquent ,IQNT,inteliquent ,inteliquent
Intellia Therapeutics ,NTLA,intellia therapeutics ,intellia therapeutics
IntelliPharmaCeutics Intl  (USA),IPCI,intellipharmaceutics intl  (usa),intellipharmaceutics intl
Inter Parfums ,IPAR,inter parfums ,inter parfums
Interactive Brokers Group ,IBKR,interactive brokers group ,interactive brokers group
Interactive Intelligence Group ,ININ,interactive intelligence group ,interactive intelligence group
Intercept Pharmaceuticals ,ICPT,intercept pharmaceuticals ,intercept pharmaceuticals
interCLICK  (Inactive),ICLK,interclick  (inactive),interclick (inactive)
Intercontinental Exchange,ICE,intercontinental exchange,intercontinental exchange
InterDigital ,IDCC,interdigital ,interdigital
Interface ,TILE,interface ,interface
InterGroup ,INTG,intergroup ,intergroup
Interlink Electronics ,LINK,interlink electronics ,interlink electronics
Intermolecular ,IMI,intermolecular ,intermolecular
Intermountain Community Ban (Inactive),IMCB,intermountain community ban (inactive),intermountain community ban
InterMune ,ITMN,intermune ,intermune
Internap ,INAP,internap ,internap
International Bancshares ,IBOC,international bancshares ,international bancshares
International Business Machines,IBM,international business machines,international business machines
International Paper,IP,international paper,international paper
International Speedway ,ISCA,international speedway ,international speedway
Internet Gold Golden Lines ,IGLD,internet gold golden lines ,internet gold golden
Internet Initiative Japan  (ADR),IIJI,internet initiative japan  (adr),internet initiative japan
Interpace Diagnostics Group ,IDXG,interpace diagnostics group ,interpace diagnostics group
Interpublic Group,IPG,interpublic group,interpublic group
Intersect ENT ,XENT,intersect ent ,intersect ent
Intersections ,INTX,intersections ,intersections
Intersil ,ISIL,intersil ,intersil
Intervest Bancshares ,IBCA,intervest bancshares ,intervest bancshares
Intevac ,IVAC,intevac ,intevac
INTL Fcstone ,INTL,intl fcstone ,intl fcstone
Intl Flavors & Fragrances,IFF,intl flavors & fragrances,intl flavors &
IntraCellular Therapies ,ITCI,intracellular therapies ,intracellular therapies
Intrepid Healthcare Services ,IPCM,intrepid healthcare services ,intrepid healthcare services
IntriCon oration,IIN,intricon oration,intricon oration
Intuit ,INTU,intuit ,intuit
Intuitive Surgical ,ISRG,intuitive surgical ,intuitive surgical
Inventure Foods ,SNAK,inventure foods ,inventure foods
Invesco Ltd,IVZ,invesco ltd,invesco ltd
Investar Holding ,ISTR,investar holding ,investar holding
Investors Ban ,ISBC,investors ban ,investors ban
Investors Title Company,ITIC,investors title company,investors title company
Invivo Therapeutics Holdings ,NVIV,invivo therapeutics holdings ,invivo therapeutics holdings
Invuity ,IVTY,invuity ,invuity
INX ,INXI,inx ,inx
Ionis Pharmaceuticals ,IONS,ionis pharmaceuticals ,ionis pharmaceuticals
iPass ,IPAS,ipass ,ipass
IPG Photonics ,IPGP,ipg photonics ,ipg photonics
IQ Chaikin US Small Cap ETF,CSML,iq chaikin us small cap etf,iq chaikin us
IQVIA Holdings ,IQV,iqvia holdings ,iqvia holdings
Iradimed ,IRMD,iradimed ,iradimed
Irhythm Technologies ,IRTC,irhythm technologies ,irhythm technologies
IRIDEX oration,IRIX,iridex oration,iridex oration
IRIS International ,IRIS,iris international ,iris international
iRobot oration,IRBT,irobot oration,irobot oration
Iroko Pharmaceuticals ,IRKO,iroko pharmaceuticals ,iroko pharmaceuticals
Iron Mountain orporated,IRM,iron mountain orporated,iron mountain orporated
Ironwood Pharmaceuticals ,IRWD,ironwood pharmaceuticals ,ironwood pharmaceuticals
IRSA Propiedades Comerciales SA (ADR),IRCP,irsa propiedades comerciales sa (adr),irsa propiedades comerciales
iSectors PostMPT Growth ETF,PMPT,isectors postmpt growth etf,isectors postmpt growth
Ishares Msci Emrg Mrkt Fncl Sctr Indx Fd,EMFN,ishares msci emrg mrkt fncl sctr indx fd,ishares msci emrg
Ishares MSCI Europe Fls Sctr Indx Fd,EUFN,ishares msci europe fls sctr indx fd,ishares msci europe
Isle of Capri Casinos,ISLE,isle of capri casinos,isle of capri
Isramco ,ISRL,isramco ,isramco
Ista Pharmaceuticals LLC (Inactive),ISTA,ista pharmaceuticals llc (inactive),ista pharmaceuticals llc
Iteris ,ITI,iteris ,iteris
Itron ,ITRI,itron ,itron
Ituran Location and Control  (US),ITRN,ituran location and control  (us),ituran location and
ITUS ,ITUS,itus ,itus
Ixia,XXIA,ixia,ixia
IXYS oration,IXYS,ixys oration,ixys oration
Izea ,IZEA,izea ,izea
J & J Snack Foods ,JJSF,j & j snack foods ,j & j
J Alexander's LLC (Inactive),JAX,j alexander's llc (inactive),j alexander's llc
J B Hunt Transport Services,JBHT,j b hunt transport services,j b hunt
JW Mays ,MAYS,jw mays ,jw mays
J2 Global ,JCOM,j2 global ,j2 global
JA Solar Holdings Co  (ADR),JASO,ja solar holdings co  (adr),ja solar holdings
Jack Henry & Associates,JKHY,jack henry & associates,jack henry &
Jack in the Box ,JACK,jack in the box ,jack in the
Jacobs Engineering Group,J,jacobs engineering group,jacobs engineering group
Jaguar Animal Health ,JAGX,jaguar animal health ,jaguar animal health
JAKKS Pacific ,JAKK,jakks pacific ,jakks pacific
Jamba ,JMBA,jamba ,jamba
James River Group Holdings ,JRVR,james river group holdings ,james river group
Jazz Pharmaceuticals   Ordinary Shares,JAZZ,jazz pharmaceuticals   ordinary shares,jazz pharmaceuticals
JD (ADR),JD,jd (adr),jd (adr)
Jda Software Group  (Inactive),JDAS,jda software group  (inactive),jda software group
Jefferson Bancshares ,JFBI,jefferson bancshares ,jefferson bancshares
Jensyn Acquisition ,JSYNU,jensyn acquisition ,jensyn acquisition
Jensyn Acquistion ,JSYN,jensyn acquistion ,jensyn acquistion
JetBlue Airways oration,JBLU,jetblue airways oration,jetblue airways oration
Jetpay ,UBPSU,jetpay ,jetpay
JETS Contrarian Opp Index Fund,JCO,jets contrarian opp index fund,jets contrarian opp
JewettCameron Trading Company ,JCTCF,jewettcameron trading company ,jewettcameron trading company
Jiayuan International ,DATE,jiayuan international ,jiayuan international
Jinpan International Limited,JST,jinpan international limited,jinpan international limited
Jive Software ,JIVE,jive software ,jive software
JM Global Holding Co,WYIGU,jm global holding co,jm global holding
JM Smucker,SJM,jm smucker,jm smucker
JMU  ADR,JMU,jmu  adr,jmu adr
John B Sanfilippo & Son ,JBSS,john b sanfilippo & son ,john b sanfilippo
Johnson & Johnson,JNJ,johnson & johnson,johnson & johnson
Johnson Controls International,JCI,johnson controls international,johnson controls international
Johnson Outdoors ,JOUT,johnson outdoors ,johnson outdoors
Joint ,JYNT,joint ,joint
Jos A Bank Clothiers  (Inactive),JOSB,jos a bank clothiers  (inactive),jos a bank
Jounce Therapeutics ,JNCE,jounce therapeutics ,jounce therapeutics
JPMorgan Chase & Co,JPM,jpmorgan chase & co,jpmorgan chase &
Juniper Networks,JNPR,juniper networks,juniper networks
Juniper Pharmaceuticals ,JNP,juniper pharmaceuticals ,juniper pharmaceuticals
Juno Therapeutics ,JUNO,juno therapeutics ,juno therapeutics
K Swiss ,KSWS,k swiss ,k swiss
K2M Group Holdings ,KTWO,k2m group holdings ,k2m group holdings
Kaiser Aluminum ,KALU,kaiser aluminum ,kaiser aluminum
Kalvista Pharmaceuticals ,KALV,kalvista pharmaceuticals ,kalvista pharmaceuticals
Kamada ,KMDA,kamada ,kamada
Kandi Technologies Group ,KNDI,kandi technologies group ,kandi technologies group
Kansas City Southern,KSU,kansas city southern,kansas city southern
Karyopharm Therapeutics ,KPTI,karyopharm therapeutics ,karyopharm therapeutics
Kayak Software ,KYAK,kayak software ,kayak software
KBL Merger  IV,KBLMU,kbl merger  iv,kbl merger
KCAP Financial ,KCAP,kcap financial ,kcap financial
Kearny Financial,KRNY,kearny financial,kearny financial
Kellogg Co,K,kellogg co,kellogg co
KemPharm ,KMPH,kempharm ,kempharm
Kensey Nash oration (Inactive),KNSY,kensey nash oration (inactive),kensey nash oration
Kentucky First Federal Ban,KFFB,kentucky first federal ban,kentucky first federal
Keryx Biopharmaceuticals,KERX,keryx biopharmaceuticals,keryx biopharmaceuticals
Keurig Green Mountain ,GMCR,keurig green mountain ,keurig green mountain
Kewaunee Scientific oration,KEQU,kewaunee scientific oration,kewaunee scientific oration
Key Technology ,KTEC,key technology ,key technology
Key Tronic oration,KTCC,key tronic oration,key tronic oration
Key,KEY,key,key
Keynote LLC,KEYN,keynote llc,keynote llc
Keysight Technologies,KEYS,keysight technologies,keysight technologies
KEYW Holding ,KEYW,keyw holding ,keyw holding
Kforce ,KFRC,kforce ,kforce
Kimball Electronics ,KE,kimball electronics ,kimball electronics
Kimberly-Clark,KMB,kimberly-clark,kimberly-clark
Kimco Realty,KIM,kimco realty,kimco realty
Kinder Morgan,KMI,kinder morgan,kinder morgan
Kindred Biosciences ,KIN,kindred biosciences ,kindred biosciences
KineMed ,KNMD,kinemed ,kinemed
Kingold Jewelry ,KGJI,kingold jewelry ,kingold jewelry
Kingstone Companies ,KINS,kingstone companies ,kingstone companies
Kingtone Wirelessinfo Solutions Hldg ,KONE,kingtone wirelessinfo solutions hldg ,kingtone wirelessinfo solutions
Kinsale Capital Group ,KNSL,kinsale capital group ,kinsale capital group
Kirkland's ,KIRK,kirkland's ,kirkland's
Kite Pharma ,KITE,kite pharma ,kite pharma
Kitov Pharmaceuticals Holdings  (ADR),KTOV,kitov pharmaceuticals holdings  (adr),kitov pharmaceuticals holdings
KLA oration,KLAC,kla oration,kla oration
KLOX Technologies ,KLOX,klox technologies ,klox technologies
KLX ,KLXI,klx ,klx
Knology  (Inactive),KNOL,knology  (inactive),knology (inactive)
Kofax ,KFX,kofax ,kofax
Kohl's ,KSS,kohl's ,kohl's
Kona Grill ,KONA,kona grill ,kona grill
KongZhong oration (ADR),KZ,kongzhong oration (adr),kongzhong oration (adr)
Kopin oration,KOPN,kopin oration,kopin oration
Kornit Digital ,KRNT,kornit digital ,kornit digital
Koss oration,KOSS,koss oration,koss oration
Kraft Foods Group ,KRFT,kraft foods group ,kraft foods group
Kraft Heinz Co,KHC,kraft heinz co,kraft heinz co
KraneShares Trust,KWEB,kraneshares trust,kraneshares trust
Kratos Defense & Security Solutions ,KTOS,kratos defense & security solutions ,kratos defense &
Kroger Co,KR,kroger co,kroger co
KSW  (Inactive),KSW,ksw  (inactive),ksw (inactive)
Ku6 Media Co  (ADR),KUTV,ku6 media co  (adr),ku6 media co
Kulicke and Soffa Industries ,KLIC,kulicke and soffa industries ,kulicke and soffa
Kura Oncology ,KURA,kura oncology ,kura oncology
KVH Industries ,KVHI,kvh industries ,kvh industries
Kythera Biopharmaceuticals ,KYTH,kythera biopharmaceuticals ,kythera biopharmaceuticals
L Brands ,LB,l brands ,l brands
L Logistics Co,LLGX,l logistics co,l logistics co
LB Foster Co,FSTR,lb foster co,lb foster co
L3Harris Technologies,LHX,l3harris technologies,l3harris technologies
La Jolla Pharmaceutical Company,LJPC,la jolla pharmaceutical company,la jolla pharmaceutical
Laboratory  of America Holding,LH,laboratory  of america holding,laboratory of
LaCrosse Footwear  (Inactive),BOOT,lacrosse footwear  (inactive),lacrosse footwear
Lake Shore Ban ,LSBK,lake shore ban ,lake shore ban
Lake Sunapee Bank Group,LSBG,lake sunapee bank group,lake sunapee bank
Lakeland Ban ,LBAI,lakeland ban ,lakeland ban
Lakeland Financial oration,LKFN,lakeland financial oration,lakeland financial oration
Lakeland Industries ,LAKE,lakeland industries ,lakeland industries
Lam Research,LRCX,lam research,lam research
Lamar Advertising Company,LAMR,lamar advertising company,lamar advertising company
Lamb Weston Holdings ,LW,lamb weston holdings ,lamb weston holdings
Lancaster Colony ,LANC,lancaster colony ,lancaster colony
Landcadia Holdings ,LCA,landcadia holdings ,landcadia holdings
Landec oration,LNDC,landec oration,landec oration
Landmark Ban ,LARK,landmark ban ,landmark ban
Lands' End ,LE,lands' end ,lands' end
Landstar System ,LSTR,landstar system ,landstar system
Lantheus Holdings ,LNTH,lantheus holdings ,lantheus holdings
Lantronix ,LTRX,lantronix ,lantronix
LaPorte Ban ,LPSB,laporte ban ,laporte ban
Lare Holdings  (Inactive),LNCR,lare holdings  (inactive),lare holdings
Las Vegas Sands,LVS,las vegas sands,las vegas sands
Lattice Semiconductor ,LSCC,lattice semiconductor ,lattice semiconductor
Laureate Education ,LAUR,laureate education ,laureate education
Lawson Products ,LAWS,lawson products ,lawson products
Layne Christensen Company,LAYN,layne christensen company,layne christensen company
LCAVision  (Inactive),LCAV,lcavision  (inactive),lcavision (inactive)
LCNB ,LCNB,lcnb ,lcnb
LDR Holding ,LDRH,ldr holding ,ldr holding
Le Gaga Holdings  ADR,GAGA,le gaga holdings  adr,le gaga holdings
Leading Brands  (USA),LBIX,leading brands  (usa),leading brands
Leap Therapeutics ,LPTX,leap therapeutics ,leap therapeutics
Leap Wireless International  (Inactive),LEAP,leap wireless international  (inactive),leap wireless international
LegacyTexas Financial Group ,LTXB,legacytexas financial group ,legacytexas financial group
Leggett & Platt,LEG,leggett & platt,leggett & platt
Leidos Holdings,LDOS,leidos holdings,leidos holdings
LeMaitre Vascular ,LMAT,lemaitre vascular ,lemaitre vascular
Lendingtree ,TREE,lendingtree ,lendingtree
Lennar ,LEN,lennar ,lennar
Lexicon Pharmaceuticals ,LXRX,lexicon pharmaceuticals ,lexicon pharmaceuticals
LGI Homes ,LGIH,lgi homes ,lgi homes
LHC Group ,LHCG,lhc group ,lhc group
Lianluo Smart ,LLIT,lianluo smart ,lianluo smart
Liberty Tax ,TAX,liberty tax ,liberty tax
Liberty Tripadvisor Holdings ,LTRPB,liberty tripadvisor holdings ,liberty tripadvisor holdings
LifePoint Health ,LPNT,lifepoint health ,lifepoint health
Lifetime Brands ,LCUT,lifetime brands ,lifetime brands
LifeVantage ,LFVN,lifevantage ,lifevantage
Lifeway Foods ,LWAY,lifeway foods ,lifeway foods
Ligand Pharmaceuticals ,LGND,ligand pharmaceuticals ,ligand pharmaceuticals
Lightbridge ,LTBR,lightbridge ,lightbridge
LightPath Technologies ,LPTH,lightpath technologies ,lightpath technologies
Lilly (Eli) & Co,LLY,lilly (eli) & co,lilly (eli) &
Limbach Holdings ,LMB,limbach holdings ,limbach holdings
Limelight Networks ,LLNW,limelight networks ,limelight networks
Limoneira Company,LMNR,limoneira company,limoneira company
Loln National,LNC,loln national,loln national
Lindblad Expeditions Holdings ,LIND,lindblad expeditions holdings ,lindblad expeditions holdings
Linde plc,LIN,linde plc,linde plc
Linear Technology oration,LLTC,linear technology oration,linear technology oration
LiNiu Technology Group,LINU,liniu technology group,liniu technology group
Lion Biotechnologies ,LBIO,lion biotechnologies ,lion biotechnologies
Lionbridge Technologies ,LIOX,lionbridge technologies ,lionbridge technologies
Lipocine ,LPCN,lipocine ,lipocine
LipoScience ,LPDX,liposcience ,liposcience
Liquidity Services ,LQDT,liquidity services ,liquidity services
Littelfuse ,LFUS,littelfuse ,littelfuse
LivaNova ,LIVN,livanova ,livanova
Live Nation Entertainment,LYV,live nation entertainment,live nation entertainment
Live Oak Bancshares ,LOB,live oak bancshares ,live oak bancshares
Live Ventures ,LIVE,live ventures ,live ventures
LivePerson ,LPSN,liveperson ,liveperson
Lj International  (Inactive),JADE,lj international  (inactive),lj international
LKQ oration,LKQ,lkq oration,lkq oration
LMI Aerospace ,LMIA,lmi aerospace ,lmi aerospace
LML Payment Systems ,LMLP,lml payment systems ,lml payment systems
LNB Ban ,LNBB,lnb ban ,lnb ban
Lockheed Martin ,LMT,lockheed martin ,lockheed martin
Loews ,L,loews ,loews
Logitech International SA (USA),LOGI,logitech international sa (usa),logitech international sa
LogMeIn ,LOGM,logmein ,logmein
LoJack oration,LOJN,lojack oration,lojack oration
Loln Electric Holdings ,LECO,loln electric holdings ,loln electric holdings
Lombard Medical ,EVAR,lombard medical ,lombard medical
Loncar Cancer Immunotherapy ETF,CNCR,loncar cancer immunotherapy etf,loncar cancer immunotherapy
Lonestar Resources US ,LONE,lonestar resources us ,lonestar resources us
Long Island Iced Tea ,LTEA,long island iced tea ,long island iced
LookSmart ,LOOK,looksmart ,looksmart
LoopNet  (Inactive),LOOP,loopnet  (inactive),loopnet (inactive)
Loral Space & Communications ,LORL,loral space & communications ,loral space &
Louisiana Ban ,LABC,louisiana ban ,louisiana ban
Lowe's Cos,LOW,lowe's cos,lowe's cos
Loxo Oncology ,LOXO,loxo oncology ,loxo oncology
Loyalty Alliance Enterprise ,LAEC,loyalty alliance enterprise ,loyalty alliance enterprise
L Financial Holdings ,LPLA,l financial holdings ,l financial holdings
LRAD ,LRAD,lrad ,lrad
LSB Financial  (Inactive),LSBI,lsb financial  (inactive),lsb financial
LSI ,LSI,lsi ,lsi
LSI Industries ,LYTS,lsi industries ,lsi industries
Luca Technologies ,LUCA,luca technologies ,luca technologies
Lufkin Industries  (Inactive),LUFK,lufkin industries  (inactive),lufkin industries
Lululemon Athletica ,LULU,lululemon athletica ,lululemon athletica
Lumenis ,LMNS,lumenis ,lumenis
Lumentum Holdings ,LITE,lumentum holdings ,lumentum holdings
Luminex oration,LMNX,luminex oration,luminex oration
Lumos Networks ,LMOS,lumos networks ,lumos networks
Luna Innovations orporated,LUNA,luna innovations orporated,luna innovations orporated
LyondellBasell,LYB,lyondellbasell,lyondellbasell
M&T Bank ,MTB,m&t bank ,m&t bank
MabVax Therapeutics Holdings ,MBVX,mabvax therapeutics holdings ,mabvax therapeutics holdings
Macatawa Bank oration,MCBC,macatawa bank oration,macatawa bank oration
Mackinac Financial oration,MFNC,mackinac financial oration,mackinac financial oration
MACOM Technology Solutions Holdings ,MTSI,macom technology solutions holdings ,macom technology solutions
Macrocure ,MCUR,macrocure ,macrocure
MacroGenics ,MGNX,macrogenics ,macrogenics
Madrigal Pharmaceuticals ,MDGL,madrigal pharmaceuticals ,madrigal pharmaceuticals
Magal Security Systems  (USA),MAGS,magal security systems  (usa),magal security systems
Magellan Health ,MGLN,magellan health ,magellan health
Magic Software Enterprises ,MGIC,magic software enterprises ,magic software enterprises
magicJack VocalTec ,CALL,magicjack vocaltec ,magicjack vocaltec
Magma Design Automation LLC,LAVA,magma design automation llc,magma design automation
MagneGas oration,MNGA,magnegas oration,magnegas oration
Magyar Ban ,MGYR,magyar ban ,magyar ban
Maiden Holdings ,MHLD,maiden holdings ,maiden holdings
MainSource Financial Group ,MSFG,mainsource financial group ,mainsource financial group
MakeMusic ,MMUS,makemusic ,makemusic
MakeMyTrip Limited,MMYT,makemytrip limited,makemytrip limited
MAKO Surgical  (Inactive),MAKO,mako surgical  (inactive),mako surgical
Malibu Boats ,MBUU,malibu boats ,malibu boats
Malvern Ban ,MLVF,malvern ban ,malvern ban
MAM Software Group ,MAMS,mam software group ,mam software group
Mammoth Energy Services ,TUSK,mammoth energy services ,mammoth energy services
Manhattan Associates ,MANH,manhattan associates ,manhattan associates
Manhattan Bridge Capital ,LOAN,manhattan bridge capital ,manhattan bridge capital
Manitex International ,MNTX,manitex international ,manitex international
Mannatech ,MTEX,mannatech ,mannatech
MannKind oration,MNKD,mannkind oration,mannkind oration
Mantech International ,MANT,mantech international ,mantech international
MAP Pharmaceuticals  (Inactive),MAPP,map pharmaceuticals  (inactive),map pharmaceuticals
Mapi Pharma ,MAPI,mapi pharma ,mapi pharma
Marathon Oil ,MRO,marathon oil ,marathon oil
Marathon Patent Group ,MARA,marathon patent group ,marathon patent group
Marathon Petroleum,MPC,marathon petroleum,marathon petroleum
Marchex ,MCHX,marchex ,marchex
Marine Petroleum Trust,MARPS,marine petroleum trust,marine petroleum trust
Marinus Pharmaceuticals ,MRNS,marinus pharmaceuticals ,marinus pharmaceuticals
Market Leader  (Inactive),LEDR,market leader  (inactive),market leader
MarketAxess,MKTX,marketaxess,marketaxess
Marketo ,MKTO,marketo ,marketo
Marlin Business Services ,MRLN,marlin business services ,marlin business services
Marriott Int'l,MAR,marriott int'l,marriott int'l
Marrone Bio Innovations ,MBII,marrone bio innovations ,marrone bio innovations
Marsh & McLennan,MMC,marsh & mclennan,marsh & mclennan
Marten Transport ,MRTN,marten transport ,marten transport
Martin Marietta Materials,MLM,martin marietta materials,martin marietta materials
Martin Midstream Partners LP,MMLP,martin midstream partners lp,martin midstream partners
Marvell Technology Group ,MRVL,marvell technology group ,marvell technology group
Masco ,MAS,masco ,masco
Masimo oration,MASI,masimo oration,masimo oration
Mastercard ,MA,mastercard ,mastercard
Match Group ,MTCH,match group ,match group
Material Sciences oration (Inactive),MASC,material sciences oration (inactive),material sciences oration
Materialise NV (ADR),MTLS,materialise nv (adr),materialise nv (adr)
Matrix Service Co,MTRX,matrix service co,matrix service co
Mattel ,MAT,mattel ,mattel
Mattersight ,MATR,mattersight ,mattersight
Matthews International ,MATW,matthews international ,matthews international
Mattress Firm Holding ,MFRM,mattress firm holding ,mattress firm holding
Mattson Technology ,MTSN,mattson technology ,mattson technology
Maxim Integrated Products ,MXIM,maxim integrated products ,maxim integrated products
MaxPoint Interactive ,MXPT,maxpoint interactive ,maxpoint interactive
Maxwell Technologies ,MXWL,maxwell technologies ,maxwell technologies
Maxygen  (Inactive),MAXY,maxygen  (inactive),maxygen (inactive)
Mayflower Ban  (Inactive),MFLR,mayflower ban  (inactive),mayflower ban
Mazor Robotics   ADR,MZOR,mazor robotics   adr,mazor robotics
MBT Financial ,MBTF,mbt financial ,mbt financial
MCBC Holdings ,MCFT,mcbc holdings ,mcbc holdings
McCormick & Co,MKC,mccormick & co,mccormick & co
McCormick & Schmick's Seafood Restaurant (Inactive),MSSR,mccormick & schmick's seafood restaurant (inactive),mccormick & schmick's
McDonald's ,MCD,mcdonald's ,mcdonald's
MCG Capital ,MCGC,mcg capital ,mcg capital
McGrath Rent,MGRC,mcgrath rent,mcgrath rent
McKesson ,MCK,mckesson ,mckesson
MDC Partners ,MDCA,mdc partners ,mdc partners
Meade Instruments  (Inactive),MEAD,meade instruments  (inactive),meade instruments
Measurement Specialties  (Inactive),MEAS,measurement specialties  (inactive),measurement specialties
Mecox Lane ,MCOX,mecox lane ,mecox lane
Medallion Financial ,MFIN,medallion financial ,medallion financial
MedAssets ,MDAS,medassets ,medassets
MedCath oration (Inactive),MDTH,medcath oration (inactive),medcath oration (inactive)
Medgenics ,GNMX,medgenics ,medgenics
Medical Action Industries ,MDCI,medical action industries ,medical action industries
MediciNova ,MNOV,medicinova ,medicinova
Medidata Solutions ,MDSO,medidata solutions ,medidata solutions
Medigus   American Depositary Share,MDGS,medigus   american depositary share,medigus
Medivation ,MDVN,medivation ,medivation
Mediware Info Systems (Inactive),MEDW,mediware info systems (inactive),mediware info systems
Mediwound ,MDWD,mediwound ,mediwound
Medpace Holdings ,MEDP,medpace holdings ,medpace holdings
MEDTOX Scientific  (Inactive),MTOX,medtox scientific  (inactive),medtox scientific
Medtronic plc,MDT,medtronic plc,medtronic plc
Meet Group ,MEET,meet group ,meet group
MEI Pharma ,MEIP,mei pharma ,mei pharma
Melco Resorts & Entertainment (ADR),MLCO,melco resorts & entertainment (adr),melco resorts &
Melinta Therapeutics ,RIBX,melinta therapeutics ,melinta therapeutics
Mellanox Technologies ,MLNX,mellanox technologies ,mellanox technologies
Melrose Ban ,MELR,melrose ban ,melrose ban
Memorial Production Partners ,MEMP,memorial production partners ,memorial production partners
MEMSIC  (Inactive),MEMS,memsic  (inactive),memsic (inactive)
Mentor Graphics ,MENT,mentor graphics ,mentor graphics
MER Telemanagement Solutions ,MTSL,mer telemanagement solutions ,mer telemanagement solutions
Mercadolibre ,MELI,mercadolibre ,mercadolibre
Mercantile Bank ,MBWM,mercantile bank ,mercantile bank
Mercer International ,MERC,mercer international ,mercer international
Merchants Bancshares,MBVT,merchants bancshares,merchants bancshares
Merck & Co,MRK,merck & co,merck & co
Mercury Commercial Electronics  (Inactive),NOIZ,mercury commercial electronics  (inactive),mercury commercial electronics
Mercury Systems ,MRCY,mercury systems ,mercury systems
Merge Healthcare ,MRGE,merge healthcare ,merge healthcare
Mergeworthrx  (Inactive),MWRX,mergeworthrx  (inactive),mergeworthrx (inactive)
Meridian Ban ,EBSB,meridian ban ,meridian ban
Meridian Bioscience ,VIVO,meridian bioscience ,meridian bioscience
Meridian Waste Solutions ,MRDN,meridian waste solutions ,meridian waste solutions
Merit Medical Systems ,MMSI,merit medical systems ,merit medical systems
Merrimack Pharmaceuticals ,MACK,merrimack pharmaceuticals ,merrimack pharmaceuticals
Meru Networks ,MERU,meru networks ,meru networks
Merus Labs International  (USA),MSLI,merus labs international  (usa),merus labs international
Merus NV,MRUS,merus nv,merus nv
Mesa Laboratories ,MLAB,mesa laboratories ,mesa laboratories
Mesoblast limited (ADR),MESO,mesoblast limited (adr),mesoblast limited (adr)
Meta Financial Group ,CASH,meta financial group ,meta financial group
Methanex oration (USA),MEOH,methanex oration (usa),methanex oration (usa)
Methes Energies International ,MEILU,methes energies international ,methes energies international
MetLife ,MET,metlife ,metlife
Metro Ban ,METR,metro ban ,metro ban
Metro Bancshares  (Inactive),MCBI,metro bancshares  (inactive),metro bancshares
Mettler Toledo,MTD,mettler toledo,mettler toledo
MGC Diagnostics ,MGCD,mgc diagnostics ,mgc diagnostics
MGE Energy ,MGEE,mge energy ,mge energy
MGM Resorts International,MGM,mgm resorts international,mgm resorts international
MGP Ingredients ,MGPI,mgp ingredients ,mgp ingredients
Michaels Companies ,MIK,michaels companies ,michaels companies
Micrel orporated,MCRL,micrel orporated,micrel orporated
Microbot Medical ,MBOT,microbot medical ,microbot medical
Microchip Technology,MCHP,microchip technology,microchip technology
Microfinancial ,MFI,microfinancial ,microfinancial
Microlin Bio ,MCLB,microlin bio ,microlin bio
Micron Technology,MU,micron technology,micron technology
Micronet Enertec Technologies ,MICT,micronet enertec technologies ,micronet enertec technologies
MICROS Systems  (Inactive),MCRS,micros systems  (inactive),micros systems
Microsemi Communications ,VTSS,microsemi communications ,microsemi communications
Microsemi oration,MSCC,microsemi oration,microsemi oration
Microsemi Frequency and Time ,SYMM,microsemi frequency and time ,microsemi frequency and
Microsoft ,MSFT,microsoft ,microsoft
MicroStrategy orporated,MSTR,microstrategy orporated,microstrategy orporated
Microvision ,MVIS,microvision ,microvision
Mid Penn Ban ,MPB,mid penn ban ,mid penn ban
Mid-America Apartments,MAA,mid-america apartments,mid-america apartments
Midatech Pharma ADR,MTP,midatech pharma adr,midatech pharma adr
MidCon Energy Partners ,MCEP,midcon energy partners ,midcon energy partners
Middleburg Financial ,MBRG,middleburg financial ,middleburg financial
Middleby ,MIDD,middleby ,middleby
Middlefield Banc ,MBCN,middlefield banc ,middlefield banc
Middlesex Water Company,MSEX,middlesex water company,middlesex water company
Midland States Ban ,MSBI,midland states ban ,midland states ban
MidWestOne Financial Group ,MOFG,midwestone financial group ,midwestone financial group
Mimecast ,MIME,mimecast ,mimecast
MiMedx Group ,MDXG,mimedx group ,mimedx group
MIND CTI ,MNDO,mind cti ,mind cti
MINDBODY ,MB,mindbody ,mindbody
Mindspeed Technologies  (Inactive),MSPD,mindspeed technologies  (inactive),mindspeed technologies
